name,city,ig,reviews,url
Liquivida Wellness Center | Palm Beach Gardens - PGA,Palm Beach Gardens,,166,https://reports.auralithdigital.com/medspa/liquivida-wellness-center-palm-beach-gardens-pga/
Injection Perfection Medical Spa,Boca Raton,@boyntonbeachchamber,163,https://reports.auralithdigital.com/medspa/injection-perfection-medical-spa/
Vanity Skin & laser,Coral Springs,,162,https://reports.auralithdigital.com/medspa/vanity-skin-laser/
Spa Marija,Boca Raton,@spa_marija,161,https://reports.auralithdigital.com/medspa/spa-marija/
BareFace Aesthetics - Facial Spa & Skin Treatment,West Palm Beach,,159,https://reports.auralithdigital.com/medspa/bareface-aesthetics-facial-spa-skin-treatment/
J&P Wellness and aesthetic,West Palm Beach,@popular,153,https://reports.auralithdigital.com/medspa/jp-wellness-and-aesthetic/
Vitality Spa,Boca Raton,@vitalitylaserspa,151,https://reports.auralithdigital.com/medspa/vitality-spa/
Doctor BG Med | Excellence Health Well-being and Longevity,Coconut Creek,,150,https://reports.auralithdigital.com/medspa/doctor-bg-med-excellence-health-well-being-and-longevity/
Vital Vita Wellness,West Palm Beach,@vitalvitawellness,150,https://reports.auralithdigital.com/medspa/vital-vita-wellness/
Jiva Med Spa Boca Raton,Boca Raton,@jivamedspabocaraton,149,https://reports.auralithdigital.com/medspa/jiva-med-spa-boca-raton/
Aesthetics at Cima Health,Palm Beach Gardens,@aestheticsatcimahealth,148,https://reports.auralithdigital.com/medspa/aesthetics-at-cima-health/
AlluraMD Boca Raton (formerly The Box Med Spa),Boca Raton,,147,https://reports.auralithdigital.com/medspa/alluramd-boca-raton-formerly-the-box-med-spa/
Green Dermatology & Cosmetic Center,Deerfield Beach,,145,https://reports.auralithdigital.com/medspa/green-dermatology-cosmetic-center/
Ashley Swain Permanent Makeup & Medspa,Palm Beach Gardens,@ashleyswainpermanentmakeup,144,https://reports.auralithdigital.com/medspa/ashley-swain-permanent-makeup-medspa/
Dash Medical Spa and Laser Center,Delray Beach,,142,https://reports.auralithdigital.com/medspa/dash-medical-spa-and-laser-center/
MedClub Testosterone & Bioidentical Hormones,West Palm Beach,,142,https://reports.auralithdigital.com/medspa/medclub-testosterone-bioidentical-hormones/
MD Beauty Labs,West Palm Beach,@mdbeautylabs,141,https://reports.auralithdigital.com/medspa/md-beauty-labs/
Nouveau Health & Wellness,Palm Beach Gardens,@nouveauhealthwellness,137,https://reports.auralithdigital.com/medspa/nouveau-health-wellness/
SK Esthetics,Coral Springs,,136,https://reports.auralithdigital.com/medspa/sk-esthetics/
SkinHealth Studios,Palm Beach Gardens,@skinhealthstudios,136,https://reports.auralithdigital.com/medspa/skinhealth-studios/
Body+Beauty Lab,West Palm Beach,@bodyandbeautylab_fl,135,https://reports.auralithdigital.com/medspa/bodybeauty-lab/
Pulsar Health - Dr. Roop Monica Gill,West Palm Beach,,135,https://reports.auralithdigital.com/medspa/pulsar-health-dr-roop-monica-gill/
The Alchemy Facial Bar,Coral Springs,@thealchemyfacialbar,134,https://reports.auralithdigital.com/medspa/the-alchemy-facial-bar/
ME Aesthetics,Coral Springs,@me_aestheticsfl,133,https://reports.auralithdigital.com/medspa/me-aesthetics/
LoveLee 4Life,West Palm Beach,@lovelee_4life,130,https://reports.auralithdigital.com/medspa/lovelee-4life/
Paradise Laser Delray,Delray Beach,@paradiselaserdelray,128,https://reports.auralithdigital.com/medspa/paradise-laser-delray/
Sakara Spa Formerly Known as Belly Love Spa,Coral Springs,,127,https://reports.auralithdigital.com/medspa/sakara-spa-formerly-known-as-belly-love-spa/
Lormin Med Spa,Coral Springs,@lormin_medspa,126,https://reports.auralithdigital.com/medspa/lormin-med-spa/
Renew You Palm Beach,West Palm Beach,@renewyoupalmbeach,123,https://reports.auralithdigital.com/medspa/renew-you-palm-beach/
